1,0.793,0.24,0.046,0.053,,24.82,32.4,4.23,645.31,147.38,15.43,0.1037,1.18E+06,3.45,7.65E+07,2.31E+07
2,0.145,0.98,0.976,0.567,,8.63,39.8,48.86,1081.81,119.97,12.56,0.1274,1.29E+05,58.3,1.27E+07,5.97E+07
3,0.587,0.517,0.187,0.825,,19.68,35.17,10.96,1300.94,135.75,14.22,0.1126,4.68E+05,19.68,8.07E+07,2.01E+07
4,0.563,0.758,0.138,0.311,,19.08,37.58,8.63,864.48,127.06,13.31,0.1202,6.07E+05,11.28,7.74E+07,2.21E+07
5,0.854,0.825,0.203,0.468,,26.35,38.25,11.73,997.68,124.84,13.07,0.1224,4.94E+05,20.05,9.66E+07,2.05E+07
6,0.658,0.151,0.008,0.278,,21.45,31.51,2.4,835.98,151.55,15.87,0.1008,2.12E+06,2.2,9.73E+07,2.18E+07
7,0.425,0.926,0.457,0.957,,15.63,39.26,23.94,1413.19,121.62,12.74,0.1256,3.12E+05,41.25,8.19E+07,1.87E+07
8,0.379,0.065,0.64,0.382,,14.48,30.65,32.73,924.95,155.78,16.31,0.0981,1.63E+05,26.28,1.16E+07,2.34E+07
9,0.216,0.728,0.895,0.533,,10.4,37.28,44.97,1053.29,128.09,13.41,0.1193,2.15E+05,41.65,1.08E+07,4.57E+07
10,0.953,0.691,0.817,0.237,,28.82,36.91,41.19,801.63,129.35,13.55,0.1181,1.27E+05,53.19,3.64E+08,2.05E+07
11,0.293,0.66,0.713,0.187,,12.32,36.6,36.22,758.54,130.45,13.66,0.1171,2.89E+05,20.77,9.16E+06,5.59E+07
12,0.105,0.113,0.51,0.123,,7.62,31.13,26.47,704.8,153.37,16.06,0.0996,3.17E+05,12.56,9.07E+06,6.45E+07
13,0.438,0.306,0.687,0.868,,15.95,33.06,34.99,1338.07,144.43,15.12,0.1058,1.62E+05,46.1,8.57E+07,2.45E+07
14,0.757,0.373,0.942,0.851,,23.93,33.73,47.23,1323.61,141.56,14.82,0.1079,1.08E+05,80.05,9.16E+07,2.12E+07
15,0.713,0.407,0.537,0.224,,22.82,34.07,27.78,790.18,140.16,14.68,0.109,1.82E+05,46.25,7.79E+07,1.77E+07
16,0.674,0.843,0.365,0.931,,21.85,38.43,19.51,1390.94,124.24,13.01,0.123,2.84E+05,51.44,1.66E+08,2.49E+07
17,0.002,0.571,0.795,0.747,,5.04,35.71,40.18,1235.17,133.69,14,0.1143,3.63E+05,33.18,1.17E+07,5.71E+07
18,0.469,0.774,0.271,0.695,,16.73,37.74,15.02,1190.66,126.52,13.25,0.1208,4.74E+05,21.07,9.99E+07,1.79E+00
19,0.921,0.46,0.253,0.998,,28.01,34.6,14.13,1447.93,138,14.45,0.1107,4.16E+05,29.8,1.01E+08,2.31E+07
20,0.328,0.934,0.486,0.014,,13.2,39.34,25.34,611.88,121.38,12.71,0.1259,2.67E+05,19.21,9.61E+06,5.08E+07
21,0.607,0.03,0.601,0.357,,20.17,30.3,30.87,903.53,157.57,16.5,0.097,1.87E+05,28.8,5.37E+07,2.65E+07
22,0.263,0.478,0.575,0.455,,11.57,34.78,29.6,986.41,137.27,14.37,0.1113,2.42E+05,26.81,1.17E+07,6.77E+07
23,0.095,0.226,0.067,0.609,,7.37,32.26,5.23,1117.8,148,15.5,0.1032,1.80E+06,4.05,1.28E+07,8.06E+07
24,0.521,0.359,0.126,0.138,,18.04,33.59,8.03,717.35,142.16,14.89,0.1075,7.28E+05,6.21,6.79E+07,1.73E+07
25,0.805,0.622,0.33,0.722,,25.13,36.22,17.85,1213.48,131.82,13.8,0.1159,3.15E+05,31.16,1.01E+08,2.46E+07
26,0.981,0.193,0.754,0.068,,29.51,31.93,38.18,657.75,149.52,15.66,0.1022,1.40E+05,35.87,9.85E+07,2.30E+07
27,0.88,0.55,0.417,0.535,,27.01,35.5,22,1054.65,134.51,14.09,0.1136,2.60E+05,35.43,9.98E+07,2.47E+07
28,0.036,0.268,0.848,0.793,,5.9,32.68,42.69,1274.16,146.09,15.3,0.1046,2.42E+05,35.7,1.22E+07,6.57E+07
29,0.347,0.887,0.901,0.408,,13.69,38.87,45.24,946.57,122.84,12.86,0.1244,1.88E+05,45.62,6.28E+07,2.96E+07
30,0.2,0.081,0.384,0.646,,9.99,30.81,20.41,1149.23,154.99,16.23,0.0986,3.01E+05,18.38,1.26E+07,6.25E+07
